發言日期,公司代號,公司名稱,主旨,market
1150907,6949,沛爾生醫*-創,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,上市
1150907,,,公告本公司股票面額由「新台幣10元」變更為「新台幣5元」 公告期間：115年7月22日至115年10月21日,上櫃
1150907,,,公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」 公告期間：115年7月2日至115年10月1日,上櫃
1150907,,,"(補充說明115/8/12公告)-代重要子公司 TAIKO INVESTMENT CO.,LTD.公告取消現金減資",上櫃
1150907,,,更正公告本公司辦理減資資本變更登記完成(更正最後過戶日),上櫃
1150907,,,更正公告本公司減資換股作業計畫(更正最後過戶日),上櫃
1150908,6949,沛爾生醫*-創,公告本公司股票面額由「新台幣10元」變更為「新台幣0.5元」， 公告期間：115年08月06日至115年11月05日。,上市
1150908,6108,競國,公告本公司修訂減資換股基準日及換股作業計畫等相關事宜,上市
1150908,6142,友勁,公告本公司辦理減資變更登記完成,上市
1150908,6142,友勁,公告本公司辦理減資變更登記完成(更正減資後流通在外股數),上市
1150908,2237,華德動能-創,公告本公司註銷限制員工權利新股減資變更登記完成,上市
1150908,nan,nan,公告本公司股票面額由「新台幣10元」變更為「新台幣5元」 公告期間：115年7月22日至115年10月21日,上櫃
1150908,nan,nan,公告本公司股票面額變更由「新台幣10元」變更為「新台幣1元」 公告期間：115年7月2日至115年10月1日,上櫃
1150908,nan,nan,公告本公司減資基準日、換股作業計畫及減資換發股票 基準日等相關事項(更新最後交易日、主管機關核准字號),上櫃
1150908,nan,nan,公告本公司辦理減資資本變更登記完成暨換股作業時程 (更正115/8/13及115/8/26減資換股作業相關日程表,上櫃
1150908,nan,nan,公告本公司減資換股作業計畫業經主管機關核准,上櫃
