代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
1808,潤隆,建材營造業,1101.4,-64.1,1015.1,-7.8,53896.8,87447.7,19187.8,—,⚠️換檔(YoY將失速),0.22,-717
2537,聯上發,建材營造業,57.5,-62.2,57.5,0.0,9248.3,57.7,-5244.9,—,⚠️換檔(YoY將失速),0.08,937
4416,三圓,建材營造業,514.6,-64.4,275.2,-46.5,2864.2,256.7,249.6,❌,,-0.1,248
8926,台汽電,油電燃氣業,6147.3,-8.6,8042.7,30.8,1459.1,1459.0,926.2,✅,,0.35,791
6265,方土昶,電子通路業,631.9,2.4,913.4,44.5,894.4,1076.3,565.8,❌,,-0.81,-2420
3708,上緯投控,綠能環保,133.3,-15.7,148.4,11.3,655.9,70.6,63.3,—,⚠️換檔(YoY將失速),0.16,42
2408,南亞科,半導體業,43867.6,49.3,50362.6,14.8,644.7,719.6,132.9,❌,,0.52,-69662
5386,青雲,電腦及週邊設備業,1992.3,27.1,1652.2,-17.1,607.0,442.3,-104.5,❌,,-0.08,-501
5289,宜鼎,電腦及週邊設備業,8494.8,3.5,8849.1,4.2,589.5,640.8,156.0,❌,,-0.45,-1031
7610,聯友金屬-創,綠能環保,970.9,29.1,780.4,-19.6,555.4,555.4,210.1,—,,-0.4,160
5351,鈺創,半導體業,2125.1,11.7,2348.7,10.5,549.8,605.5,205.9,❌,,-2.17,-10957
3006,晶豪科,半導體業,6784.7,40.0,5926.7,-12.6,428.8,328.4,140.2,❌,,1.18,-9075
3498,陽程,其他電子業,429.4,33.6,444.6,3.5,427.1,67.1,-70.7,—,⚠️換檔(YoY將失速),-0.07,-439
8096,擎亞,電子通路業,10407.6,15.9,10258.6,-1.4,421.9,433.5,438.3,✅,,-0.48,94
8299,群聯,半導體業,27161.7,9.3,26040.5,-4.1,338.8,301.2,79.8,❌,,0.88,142
2451,創見,半導體業,5195.1,2.5,5646.9,8.7,338.3,381.5,1.0,❌,,0.66,-2439
8112,至上,電子通路業,76873.6,24.7,68718.9,-10.6,329.8,253.2,116.4,❌,,-0.07,-11828
4142,國光生,生技醫療業,308.2,727.7,308.2,0.0,323.3,28.6,-445.8,—,⚠️換檔(YoY將失速),-0.05,-558
2465,麗臺,電腦及週邊設備業,1070.6,14.1,995.9,-7.0,307.7,280.9,153.4,❌,,1.32,1351
6179,亞通,其他業,1097.1,-0.5,973.7,-11.2,289.1,229.2,159.9,❌,,0.85,-2194
2059,川湖,電子零組件業,6407.3,44.2,5575.8,-13.0,283.2,220.5,181.7,❌,,0.19,-76
3135,凌航,半導體業,1967.1,22.2,2001.6,1.8,270.0,204.3,63.8,❌,,-0.35,-545
3260,威剛,半導體業,18379.1,25.4,18130.2,-1.4,263.9,212.1,42.6,❌,,4.02,-6112
5534,長虹,建材營造業,906.8,24.0,1155.3,27.4,249.3,269.8,275.6,❌,,-0.62,954
5475,德宏,電子零組件業,229.3,31.6,233.7,1.9,241.1,214.9,109.9,❌,,-0.13,92
2344,華邦電,半導體業,26773.2,30.0,23783.0,-11.2,239.1,189.9,98.4,❌,,0.96,-64983
