source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,【Follow法人】外資狂掃記憶體！買超力積電、南亞科近10萬張 鴻海成最大苦主遭砍3.3萬張 - Yahoo股市,https://news.google.com/rss/articles/CBMijgRBVV95cUxQWkN3TnUxTE9XUTl1Sm5kX0RXWmtSRUZ3dGF1ME9LVnYzZTE2R0h1c29vRTJKOXhkUEk4UTN6N2xhb0xUWktWdGNVc0hpRldRTlNFclk5MFNnbXJXYkVXV1N5cTZSRE43aC1hVVYwY290Y0lPSFBRei1ZOXl3Z2Z3MFVnQlc2YkZZSUx1Ti1WRWJxNGp3dDB0aVpuT2pHN3VpLTY0Q0pYRmlhc1NxTWQtWEk3YVpsUkdzX1Q1TEFYVmlta3YwSnlKbk9Kd3ZDNTB3SnNRSGQ5MlhPbEt2Y0R1LW9LZXZxRWhLZjBMZURfNWNJTzJyZUIyS3hFRktaMzVjMldJLUVsZE9YdGIxd1VpUHRKSnBFeUZLcFF4MWhaS0hubUtpSG9EOEdzdzFGOXBxRkJNLUdNWnh3amxHNGhwYnlDQ1JtaHBfb2EwUmg2U2R1VzE2N0g5VXdjQ0Q2OEpnYXZWQjNEZnVTaGJlSXRhWWVJc0JGSFhLdHh6eDJEb1ZobDZGN3I4enl1dS1fdkxuamZWc2RVUHVLR3lUSFFQMFpzRThyc2FxSXkxX3FWLVlJMjF1TTVwSy0zd1JLU01fWGw2NkF4VnhTLUhldlRGWUlEOVNKeDJTUzZ5T0VhLUNfcTZRUzRKUkl2cE9yNDRfV3lyX3FLN0FhV0V1RDVFMnZobGxHaGZ1S1ltd1BB?oc=5,2026-08-13 09:01,台股 今日,positive,0.4,high,"2337,2408,2317",外資買超力積電、南亞科近10萬張帶動記憶體產業，惟鴻海遭砍3.3萬張
Google News,台股驚驚漲收高503點！ 網見外資動作傻眼：感覺不出來啊 - Yahoo股市,https://news.google.com/rss/articles/CBMi6gJBVV95cUxNRUtaeHhqeTFtTnhFVl94NHd5T3g5NG9QMzNlUk9IVklyOUg5MzVzQk9NVTJJTV9pQTZUbEd6Y1ljWHc1MTZuVUFONTJrQUZmTUV3Z1hyUnVUSTg5bTd1bHJWT05NUkZDOEhRVFluZjhxM25Pb2VCTVNrSm1xY290eElQcGNFWGdTc0tUa0FvZENGWi0yNzJQb0w3WmMtcWpuOElmbWRCN3Y3eVJXRnFZSnZCdHVsOXpkQnBJMElTQ2VRTzVvSjA5UlVSRHhISWFDQU5hQ2Q2eEJldF9wSk82T3Y0a01hNXVQVHlQV1lJQ29HZHBwX3d4TnVFZ3AzODRRNWRWMm4yak1yams1UFlKa3VXQllkUkRwQTZ3UXZWaDVGWnRZRDRaWFI4dHBabkNnalZCd2pGUlVCU2ZXTFYydmhLUEhzbW91M2tXMDh0Wld4enlheVNfWHpENFRuNEhfcXgzSUhYZlVoUQ?oc=5,2026-08-13 07:50,台股 今日,positive,0.5,high,,台股漲503點但網友質疑外資動作不明顯，市場略現懷疑
Google News,【Hot台股】聯電衝高6%後回落...網喊「二哥在醞釀一波大的啦！」 分析師：還要時間 - Yahoo股市,https://news.google.com/rss/articles/CBMi-gNBVV95cUxPSjlwa0hCT0cwYVM3dnJNWktSNDM1dFlZOTJJRFFnS2pPY1B6ZG1UVlVFNWZWOXlrQ1Y0NlJpbFh5Zy1lRWRxYlhqNTJ1M3NFVkhzdVNiZUpYbnJMVVowSXppWWk2NkhWSG1YVVRyUjRzWVRPVDdVLW1MM0xoVUl2NDZqQTVsdHB6cE1hSWpaQzA5QlRhX1llVjhZbnk3aXZWdHNoQnpsaXEydnFKQmFXYWVKWWtZSGRMaWwxOW90RElkUDc4M29SOVJYSDQ0R3NvLWpwMVd6NmREUS1UUGNDdFJGRTFvWGRUQTJtSjVzWGdHMVRLUVdkYVRJeGlEbjFOTG1wS29wazlpUElsNTdYSEg1OGoxUzd0YmljYW9HUjdkMmNyR2FmVm8zNld6NFRzRG1UdHZmMzhUWkJLWlp6ZVI4bndNU1dOWERaNURERm03bUhYa2NWbUhYZVk1Zmg5SkRSMEMzUFhEd1E5dnBDVTkzWnl2TVpSSlA1Sk0yUW1VZUExMGVmUzh0a1F0UGRKRktWUl85c1ZiZklCVHJLWEtkaEJfSlFqN1o0RVoyM2lqOFJSMm5ZVkYxTnBtRDA3dU5QWTlERkFZZU1fQ1liY1VkVXc3UWtSRFhOX2ZreFFDdWdKZk5LTHhiZTdhUzUzZjNQN3pidklZdw?oc=5,2026-08-13 04:02,台股 今日,positive,0.3,medium,2303,聯電漲6%後回落，分析師認為需時間醞釀進一步上漲
Google News,【Yahoo早盤】台股漲逾600點攻上4萬6大關！分析師翁偉捷示警：小心開高走低 - Yahoo股市,https://news.google.com/rss/articles/CBMi0ANBVV95cUxNSEMzVktySXg3dDZsSndORHNRT2ZaOWhWdm0zcFpyRjFsMTduam1CbXlZbEZERXZrSUllcGlUVnNKMy1pM3Fpa2JjQXRaQUhyaWlNSFNwbXFPODgyY3RsX3ctZTNMT0Vwd0F3YVdnakZVQkdjeUVpSVY2SlBEMzJud2xhOVRZSjR5SDRPMS12WFVjNjl2dTVzQkZBcElEc255cXppY050eUtkV01WOVllOFd4VXdKQnR0MnhoWm9XbWNSM1hBWTUyU2JmUFRUcXVjN0dPM01fRGE1aXBqTWQ3cF9Ib0piS2s4bWhMYjktUV9Ya3IzaDNOY3FFeUo4SWVaaG1QOTFZdmlwYnBNa0pZcDB2WDJiTGVhV3p5eUVMd01SWmZIaktsbXdVbEJ4ZDlYcTFUWlJDU2ZRWUJlWFRDcy1zeWViTDZEUWdWbmVFRC12alRodk84U01lWVRDM0tJYTBNTU45ZUZHcjVCNE1mRzBKY2o5dTlleFV5RFNpME1VWDJJb1lUTGVsN1Q0ZXNudWg3YUJDTHQxd20xTlBMN3VIbjloR0V5WklsR1U4VGowWTVjNGprWXhMVnh1ajJvX0Yyejh6SkdmWmF0ZjVCUg?oc=5,2026-08-13 01:55,台股 今日,neutral,0.1,high,,台股漲600點攻上4.6萬但分析師示警開高走低風險
Google News,台股重返4萬6千點！00403A站回發行價連4紅 外資掃進8萬張豪撒9億成吸金王 - Yahoo股市,https://news.google.com/rss/articles/CBMisANBVV95cUxPVmRpb0ZqUWVBQUU5dG1jZzdaWkJvVlRTa1RzcTJwXzR4TW1uT2dfRVY0eHJUSXp1NFRpSVBYLU9nZUpTbUtBaDI4ZGduUmxURDhuQzVLYnJob0pSWVMyWHdxTVZZVXVGMUJOMUs0SDVTZ29OYlJuQXI4bG1KcS1NM3FUMVNVWXdtclB2Y1BhTmxmZHkwdWYxYjF4MlRyY1hWQXZzSlc4NTcxMFlaZ3FqLTNHZ2dhQU5xallXQ0xCWDZMUzlPdTVfWnoxbkdnbnFfT1VNaVFIUng3aHpsT2g0emtzLTFjWGtYY2h4ZlBjZEhhZkFiaXpoekZsanVTRzJpeElaa3Q1QUZGNF9vTWxPYUFUODNZRE9KVkpmV0tES0lDNWgwcmhtZURmcjMyV0lfZHZaclZXclNQRWZ6M01KVUNqRU9JTmJ2TEhoZHBHUWdJcXlqM1oyT2lKcVFDVnRGVy1PZEtzZE5SMlA4M3N6Q1hELUxHMi1aSHlhLUJ2dnROVGY4RU53bHBNM2xSNlpPTGEzN091XzRfdHNZTEtjc3F1c2dMSkZUbm9TM21fZEw?oc=5,2026-08-13 10:30,台股 今日,positive,0.7,high,00403A,台股重返4.6萬，00403A連4紅外資掃進8萬張創吸金王
Google News,入選MSCI成分股助攻！華邦電止跌回升轟17.6萬張 力積電紅翻黑狂噴近35萬張 - Yahoo股市,https://news.google.com/rss/articles/CBMiuwNBVV95cUxPTVZzN0J4dUcxYUVwTmVnS0RsOFdldmsyeGprUHJVVUtXeWV3UDJZWmVZLUlHNjhvcHVQMTRMdHFwcERRcG5rRS1jeVdQVkdRa3pkbkFTblNjU1FOT2lBSEhTQW84b0JPdDVNSm4yWlZ4V0l2aU1ZWjZzZXZGYkh1cGVPRE96cldFN29HekVXLVhtS1k3OHFlQjM1YXktb0RTVWx4dnpVSEdRNkhZc0xldzMwMjc4NHNTMWZVVC1QVGdtZ3lBSWtRMERoWjNRLW1kcTBYenRJclZXVnF0dFVpMERJLWNMYXV2dDFGeW9EU1ZxcnpXT01zUjhPZGlWRTRKNWUwdGJWYXRIMWwweFNBbzFmV0s2TXY4Rk9peHk3NjdKbjA2dlZkcFduejd2SGVGam5QYjl6WjJ0UDg2OHdELXpObURUV2FOSi1WX3VDdVRPQ09CZWJ0Q3oybTRnZWZMZVBjU0FXdDgtTHhWZjN6M2FhSzJ4OTB0MnZpQm9RSW5McU5aQk4zZEZrVzBZcXFpRW8xX2lKNHU0WS1wVW9PUmlRa3ZGbHl2Z3ZlY2FyeVc4M2ZBLXdWbXJLOA?oc=5,2026-08-13 04:04,台股 今日,positive,0.8,high,"5347,2337",入選MSCI成分股助攻，華邦電止跌回升、力積電狂噴近35萬張
Google News,多頭續攻！台股漲503點站穩4.6萬 - Yahoo新聞,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQRzlyLVlxUkhBZzJEWkI4OG5YcVM3Y1RERXJjYl9JTFM5a2JpVGIxWnZ1Snp2QTE3VzI0X21fZnRMdnFhd3JrUmRKVnNUOHdPbnlqSmFkcnlRTHBrOG96dTJFRWM0cndyMGFObHVBdWZKZ0ZrcmF1TmxMTzBFbEdyeURCWHVhbjlJcVlTMGpuZUdUTDJVNDhJVE5jUVNDOGNzY1JkRzNwYmpPaTNCZGVPTkVNdE01LThMZjZBcnlSUk81ZkxzVHhsTzNQMFdRX1pBOEhoZ0NBOXo0NVZuekZmcA?oc=5,2026-08-13 07:26,台股 今日,positive,0.6,high,,多頭續攻台股漲503點站穩4.6萬
Google News,台股大噴發！南亞科、被動元件狂亮燈 - Yahoo新聞,https://news.google.com/rss/articles/CBMiigJBVV95cUxOTDJxOS1XbDBNX1l3WmdpR0dHUmphaXpFQVRXZFA3a0pCSmNtdnY0SXVDVE13MGdqRTdkd2hiaTQ3NmVfWXctdGNrOHVjQVhoZDRSZnBVeGNZb2NuSHllYTJyNXVlZnNxbHNzRFVIVEgwWGUzYWJ2UU9JYnY3azI3c3lNYlV3MU9DSTBpWTE3T1NqOE1MeGJDU19LaWl2UUNxYUxJOVZ2QXlON3ZvYlg4c3ZnenhJeEpwR0RZd3VTbkctLTEwcjNoZ05TZ3NKRkVBZ2xJaWdjWFNmdTlmVDNGQmtoWHk3MnR5TWZFbGN2R0o2UFoxdUgxN21CWHVSXzZQYXFDOE5LMlFJQQ?oc=5,2026-08-13 03:20,台股 今日,positive,0.7,high,2408,台股大噴發南亞科、被動元件族群狂亮燈
Google News,今日漲停股｜國巨、信昌電、合晶領軍電子零組件全面噴出、AI伺服器與被動元件引爆台股0813｜豐雲學堂2026 年 08 月 - sinotrade.com.tw,https://news.google.com/rss/articles/CBMitARBVV95cUxOT2tLUFlTZ0xfbVlJS0NnMXJvRVJZRzEyMW9FZVBOb2pkckxWNTNPRWxHQ2V0ZVU3MGtRblJiWER6X2dydUVOOW9WNmUzNTZrSmc0d2ItejFUZk5iSk1WQy04aTQ3TXdFM2w5UnVtNUpCUHVUUTMtX2hQLW9qSG5nV2ZIVkRBMjFDcEpnZ1Iwc0ZUdkU1ZDVPRndKQU0ydGxSTl9INzI2bERzb3RTNEtzS1VZU2VMQU1KdF93emRSVUJaOTdaRER4ejVILWNxTVkxRS0wdlM3SWVUT0RDREdZSHpkdjluU2dQREI5R2hJQlFpRUViUVhxWGxzSGhhYjhZVVA4OEV6U2VQbkFZNjlwdTJKLTNURDV1eU9rYlV5eURYMkpaSVZ2NmkzYTFhMWVvdm1mc2lWUzhwc2VPazJyaVFPYW9hLXBKdHptOFluSTZTeEdnMkU3ckNETTNnWkROMms5NDN1SXZjVkxEd2R1VmF3b1NsYnQwb2FoVDk2RFRtUENDNDlNNmFQcG5WdW82VlJITmxuTFVrSmxjLVIxQmZhcURURUN4RmlnTmU2dzUwdzJHUUJSaUR5eElkVlA2cEw2dmU3dWdnR0drTEw5RlV1a0pveVdUOG1wRkRhdXp6by1IWGhEQ2lHMXowTFQ3MmVqd25aQmtONzc0MUF6TmFBR0ZoeVBHdllHT25OUlQ3aUdJTnVYQm9FS2FCRjkwWkdhdXBPcEJ0by12U0xwSnIzZWw?oc=5,2026-08-13 07:12,台股 今日,positive,0.8,high,"2327,5059,6271",國巨、信昌電、合晶漲停領軍，AI伺服器與被動元件全面噴出
Google News,台股兩週飆逾6千點站回46000點 國巨7檔被動元件漲停、記憶體走強 - 民報,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9ua1BWdklSczF3WkdrSVlSZ3lnb2JNQU9MRjVwNVRQMWpSMzF5OFBmX3RhVUlrZVZ6UHFKOHJpaENURW9INHNMMnFPeWl2ZjBoeXFhaGF5ODRzRHVlQlNNRmphQmE?oc=5,2026-08-13 10:36,台股 今日,positive,0.8,high,2327,台股兩週飆6000點，國巨等被動元件7檔漲停、記憶體走強
